"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","p_adj"
"set",FALSE,0.309668989547039,2,9,2,0.222222222222222,1,"GO:0009314","GO:BP","response to radiation",42,3446,"GO:0009628",0.309668989547039
"set",FALSE,0.309668989547039,2,9,2,0.222222222222222,1,"GO:1901890","GO:BP","positive regulation of cell junction assembly",42,21549,"GO:0034329,GO:0044089,GO:0051130,GO:1901888",0.309668989547039
"set",FALSE,0.309668989547039,2,9,2,0.222222222222222,1,"GO:2000810","GO:BP","regulation of bicellular tight junction assembly",42,25616,"GO:0070830,GO:1901888",0.309668989547039
"set",FALSE,0.309668989547039,2,9,2,0.222222222222222,1,"GO:0072657","GO:BP","protein localization to membrane",42,17244,"GO:0008104,GO:0051668",0.309668989547039
"set",FALSE,0.309668989547039,2,9,2,0.222222222222222,1,"GO:0007368","GO:BP","determination of left/right symmetry",42,2856,"GO:0009855,GO:0060972",0.309668989547039
"set",FALSE,0.309668989547039,2,9,2,0.222222222222222,1,"GO:0046605","GO:BP","regulation of centrosome cycle",42,12090,"GO:0007098,GO:0010564,GO:0032886,GO:0051128",0.309668989547039
"set",FALSE,0.309668989547039,2,9,2,0.222222222222222,1,"GO:0044089","GO:BP","positive regulation of cellular component biogenesis",42,10814,"GO:0044085,GO:0044087,GO:0048522",0.309668989547039
"set",FALSE,0.309668989547039,2,9,2,0.222222222222222,1,"GO:0035567","GO:BP","non-canonical Wnt signaling pathway",42,9028,"GO:0016055",0.309668989547039
"set",FALSE,0.309668989547039,2,9,2,0.222222222222222,1,"GO:0007632","GO:BP","visual behavior",42,3074,"GO:0007610,GO:0009416",0.309668989547039
"set",FALSE,0.309668989547039,2,9,2,0.222222222222222,1,"GO:0048515","GO:BP","spermatid differentiation",42,12633,"GO:0003006,GO:0007283,GO:0022412,GO:0030154",0.309668989547039
"set",FALSE,0.309668989547039,2,9,2,0.222222222222222,1,"GO:0010824","GO:BP","regulation of centrosome duplication",42,4417,"GO:0046605,GO:0051298",0.309668989547039
"set",FALSE,0.309668989547039,10,9,5,0.555555555555556,0.5,"GO:0033036","GO:BP","macromolecule localization",42,7939,"GO:0051179",0.309668989547039
"set",FALSE,0.309668989547039,10,9,5,0.555555555555556,0.5,"GO:0120036","GO:BP","plasma membrane bounded cell projection organization",42,19210,"GO:0030030",0.309668989547039
"set",FALSE,0.309668989547039,2,9,2,0.222222222222222,1,"GO:0051656","GO:BP","establishment of organelle localization",42,13679,"GO:0051234,GO:0051640",0.309668989547039
"set",FALSE,0.309668989547039,2,9,2,0.222222222222222,1,"GO:0031023","GO:BP","microtubule organizing center organization",42,6960,"GO:0000226,GO:0007017,GO:0016043",0.309668989547039
"set",FALSE,0.309668989547039,2,9,2,0.222222222222222,1,"GO:0022412","GO:BP","cellular process involved in reproduction in multicellular organism",42,6571,"GO:0009987,GO:0048609",0.309668989547039
"set",FALSE,0.309668989547039,2,9,2,0.222222222222222,1,"GO:0051649","GO:BP","establishment of localization in cell",42,13672,"GO:0051234,GO:0051641",0.309668989547039
"set",FALSE,0.309668989547039,2,9,2,0.222222222222222,1,"GO:0051640","GO:BP","organelle localization",42,13663,"GO:0051179",0.309668989547039
"set",FALSE,0.309668989547039,4,9,3,0.333333333333333,0.75,"GO:0019953","GO:BP","sexual reproduction",42,6041,"GO:0022414",0.309668989547039
"set",FALSE,0.309668989547039,2,9,2,0.222222222222222,1,"GO:1990778","GO:BP","protein localization to cell periphery",42,24850,"GO:0008104",0.309668989547039
"set",FALSE,0.309668989547039,2,9,2,0.222222222222222,1,"GO:0001738","GO:BP","morphogenesis of a polarized epithelium",42,412,"GO:0002009",0.309668989547039
"set",FALSE,0.309668989547039,2,9,2,0.222222222222222,1,"GO:0001736","GO:BP","establishment of planar polarity",42,410,"GO:0001738,GO:0007164",0.309668989547039
"set",FALSE,0.309668989547039,2,9,2,0.222222222222222,1,"GO:0051298","GO:BP","centrosome duplication",42,13447,"GO:0007098,GO:0022402",0.309668989547039
"set",FALSE,0.309668989547039,2,9,2,0.222222222222222,1,"GO:0051668","GO:BP","localization within membrane",42,13690,"GO:0051641",0.309668989547039
"set",FALSE,0.309668989547039,2,9,2,0.222222222222222,1,"GO:1905515","GO:BP","non-motile cilium assembly",42,24275,"GO:0060271",0.309668989547039
"set",FALSE,0.309668989547039,2,9,2,0.222222222222222,1,"GO:0060972","GO:BP","left/right pattern formation",42,14883,"GO:0003002",0.309668989547039
"set",FALSE,0.363837886697569,8,9,4,0.444444444444444,0.5,"GO:0048585","GO:BP","negative regulation of response to stimulus",42,12689,"GO:0048519,GO:0048583,GO:0050896",0.363837886697569
"set",FALSE,0.398535655992426,5,9,3,0.333333333333333,0.6,"GO:0060249","GO:BP","anatomical structure homeostasis",42,14258,"GO:0048871",0.398535655992426
"set",FALSE,0.398535655992426,5,9,3,0.333333333333333,0.6,"GO:0045216","GO:BP","cell-cell junction organization",42,11173,"GO:0034330",0.398535655992426
"set",FALSE,0.398535655992426,5,9,3,0.333333333333333,0.6,"GO:0001894","GO:BP","tissue homeostasis",42,517,"GO:0048871,GO:0060249",0.398535655992426
"set",FALSE,0.432132418287746,1,9,1,0.111111111111111,1,"GO:0090175","GO:BP","regulation of establishment of planar polarity",42,17847,"GO:0001736,GO:2000027",0.432132418287746
"set",FALSE,0.432132418287746,3,9,2,0.222222222222222,0.666666666666667,"GO:0030036","GO:BP","actin cytoskeleton organization",42,6627,"GO:0007010,GO:0030029",0.432132418287746
"set",FALSE,0.432132418287746,1,9,1,0.111111111111111,1,"GO:0031589","GO:BP","cell-substrate adhesion",42,7193,"GO:0007155",0.432132418287746
"set",FALSE,0.432132418287746,1,9,1,0.111111111111111,1,"GO:0040018","GO:BP","positive regulation of multicellular organism growth",42,9815,"GO:0035264,GO:0040014,GO:0048639,GO:0051240",0.432132418287746
"set",FALSE,0.432132418287746,1,9,1,0.111111111111111,1,"GO:0040015","GO:BP","negative regulation of multicellular organism growth",42,9812,"GO:0035264,GO:0040014,GO:0048640,GO:0051241",0.432132418287746
"set",FALSE,0.432132418287746,1,9,1,0.111111111111111,1,"GO:0035845","GO:BP","photoreceptor cell outer segment organization",42,9210,"GO:0016043,GO:0042461",0.432132418287746
"set",FALSE,0.432132418287746,1,9,1,0.111111111111111,1,"GO:0071910","GO:BP","determination of liver left/right asymmetry",42,16746,"GO:0001889,GO:0007368",0.432132418287746
"set",FALSE,0.432132418287746,17,9,6,0.666666666666667,0.352941176470588,"GO:0030154","GO:BP","cell differentiation",42,6654,"GO:0048869",0.432132418287746
"set",FALSE,0.432132418287746,3,9,2,0.222222222222222,0.666666666666667,"GO:0030178","GO:BP","negative regulation of Wnt signaling pathway",42,6665,"GO:0009968,GO:0016055,GO:0030111",0.432132418287746
"set",FALSE,0.432132418287746,1,9,1,0.111111111111111,1,"GO:0040014","GO:BP","regulation of multicellular organism growth",42,9811,"GO:0035264,GO:0048638,GO:0051239",0.432132418287746
"set",FALSE,0.432132418287746,1,9,1,0.111111111111111,1,"GO:0040001","GO:BP","establishment of mitotic spindle localization",42,9799,"GO:0051293,GO:1902850",0.432132418287746
"set",FALSE,0.432132418287746,1,9,1,0.111111111111111,1,"GO:0072189","GO:BP","ureter development",42,16986,"GO:0035295,GO:0048513,GO:0072001",0.432132418287746
"set",FALSE,0.432132418287746,1,9,1,0.111111111111111,1,"GO:0030534","GO:BP","adult behavior",42,6800,"GO:0007610",0.432132418287746
"set",FALSE,0.432132418287746,1,9,1,0.111111111111111,1,"GO:0035469","GO:BP","determination of pancreatic left/right asymmetry",42,8984,"GO:0007368,GO:0031016",0.432132418287746
"set",FALSE,0.432132418287746,1,9,1,0.111111111111111,1,"GO:0090251","GO:BP","protein localization involved in establishment of planar polarity",42,17904,"GO:0001736,GO:0008104",0.432132418287746
"set",FALSE,0.432132418287746,1,9,1,0.111111111111111,1,"GO:0038108","GO:BP","negative regulation of appetite by leptin-mediated signaling pathway",42,9615,"GO:0032099,GO:0033210",0.432132418287746
"set",FALSE,0.432132418287746,1,9,1,0.111111111111111,1,"GO:0035329","GO:BP","hippo signaling",42,8907,"GO:0035556",0.432132418287746
"set",FALSE,0.432132418287746,1,9,1,0.111111111111111,1,"GO:0035330","GO:BP","regulation of hippo signaling",42,8908,"GO:0035329,GO:1902531",0.432132418287746
"set",FALSE,0.432132418287746,3,9,2,0.222222222222222,0.666666666666667,"GO:0090090","GO:BP","negative regulation of canonical Wnt signaling pathway",42,17776,"GO:0030178,GO:0060070,GO:0060828",0.432132418287746
"set",FALSE,0.432132418287746,1,9,1,0.111111111111111,1,"GO:0090150","GO:BP","establishment of protein localization to membrane",42,17824,"GO:0045184,GO:0072657",0.432132418287746
"set",FALSE,0.432132418287746,1,9,1,0.111111111111111,1,"GO:0032402","GO:BP","melanosome transport",42,7493,"GO:0032400,GO:0032401,GO:0051904",0.432132418287746
"set",FALSE,0.432132418287746,1,9,1,0.111111111111111,1,"GO:0033059","GO:BP","cellular pigmentation",42,7956,"GO:0009987,GO:0043473",0.432132418287746
"set",FALSE,0.432132418287746,1,9,1,0.111111111111111,1,"GO:0032401","GO:BP","establishment of melanosome localization",42,7492,"GO:0032400,GO:0051905",0.432132418287746
"set",FALSE,0.432132418287746,1,9,1,0.111111111111111,1,"GO:0032400","GO:BP","melanosome localization",42,7491,"GO:0051875",0.432132418287746
"set",FALSE,0.432132418287746,1,9,1,0.111111111111111,1,"GO:0032108","GO:BP","negative regulation of response to nutrient levels",42,7322,"GO:0031667,GO:0032107,GO:0048585",0.432132418287746
"set",FALSE,0.432132418287746,1,9,1,0.111111111111111,1,"GO:0033210","GO:BP","leptin-mediated signaling pathway",42,8018,"GO:0019221,GO:0044320",0.432132418287746
"set",FALSE,0.432132418287746,1,9,1,0.111111111111111,1,"GO:0032107","GO:BP","regulation of response to nutrient levels",42,7321,"GO:0031667,GO:0048583",0.432132418287746
"set",FALSE,0.432132418287746,1,9,1,0.111111111111111,1,"GO:0031929","GO:BP","TOR signaling",42,7248,"GO:0035556",0.432132418287746
"set",FALSE,0.432132418287746,1,9,1,0.111111111111111,1,"GO:0072659","GO:BP","protein localization to plasma membrane",42,17246,"GO:0072657,GO:1990778",0.432132418287746
"set",FALSE,0.432132418287746,1,9,1,0.111111111111111,1,"GO:0032099","GO:BP","negative regulation of appetite",42,7316,"GO:0032096,GO:0032098",0.432132418287746
"set",FALSE,0.432132418287746,1,9,1,0.111111111111111,1,"GO:0032098","GO:BP","regulation of appetite",42,7315,"GO:0031667,GO:0065008",0.432132418287746
"set",FALSE,0.432132418287746,1,9,1,0.111111111111111,1,"GO:0032096","GO:BP","negative regulation of response to food",42,7313,"GO:0032094,GO:0032095,GO:0032108",0.432132418287746
"set",FALSE,0.432132418287746,1,9,1,0.111111111111111,1,"GO:0060296","GO:BP","regulation of cilium beat frequency involved in ciliary motility",42,14302,"GO:0003356,GO:0060295,GO:0065008",0.432132418287746
"set",FALSE,0.432132418287746,1,9,1,0.111111111111111,1,"GO:0035050","GO:BP","embryonic heart tube development",42,8719,"GO:0007507,GO:0035295,GO:0048568,GO:0060429",0.432132418287746
"set",FALSE,0.432132418287746,1,9,1,0.111111111111111,1,"GO:0032088","GO:BP","negative regulation of NF-kappaB transcription factor activity",42,7308,"GO:0043433",0.432132418287746
"set",FALSE,0.432132418287746,1,9,1,0.111111111111111,1,"GO:0032006","GO:BP","regulation of TOR signaling",42,7273,"GO:0031929,GO:1902531",0.432132418287746
"set",FALSE,0.432132418287746,1,9,1,0.111111111111111,1,"GO:0035082","GO:BP","axoneme assembly",42,8736,"GO:0001578,GO:0022607,GO:0060271",0.432132418287746
"set",FALSE,0.432132418287746,26,9,8,0.888888888888889,0.307692307692308,"GO:0032502","GO:BP","developmental process",42,7558,"GO:0008150",0.432132418287746
"set",FALSE,0.432132418287746,7,9,3,0.333333333333333,0.428571428571429,"GO:0034330","GO:BP","cell junction organization",42,8509,"GO:0016043",0.432132418287746
"set",FALSE,0.432132418287746,1,9,1,0.111111111111111,1,"GO:0071909","GO:BP","determination of stomach left/right asymmetry",42,16745,"GO:0062094,GO:0071907",0.432132418287746
"set",FALSE,0.432132418287746,1,9,1,0.111111111111111,1,"GO:0000132","GO:BP","establishment of mitotic spindle orientation",42,50,"GO:0040001,GO:0051294",0.432132418287746
"set",FALSE,0.432132418287746,1,9,1,0.111111111111111,1,"GO:0042461","GO:BP","photoreceptor cell development",42,10103,"GO:0046530,GO:0048666",0.432132418287746
"set",FALSE,0.432132418287746,10,9,4,0.444444444444444,0.4,"GO:0051128","GO:BP","regulation of cellular component organization",42,13332,"GO:0016043,GO:0050794",0.432132418287746
"set",FALSE,0.432132418287746,25,9,7,0.777777777777778,0.28,"GO:0051179","GO:BP","localization",42,13378,"GO:0008150",0.432132418287746
"set",FALSE,0.432132418287746,3,9,2,0.222222222222222,0.666666666666667,"GO:0060828","GO:BP","regulation of canonical Wnt signaling pathway",42,14761,"GO:0030111,GO:0060070",0.432132418287746
"set",FALSE,0.432132418287746,1,9,1,0.111111111111111,1,"GO:0060632","GO:BP","regulation of microtubule-based movement",42,14594,"GO:0007018,GO:0032886",0.432132418287746
"set",FALSE,0.432132418287746,1,9,1,0.111111111111111,1,"GO:0051293","GO:BP","establishment of spindle localization",42,13443,"GO:0000226,GO:0051649,GO:0051653,GO:0051656",0.432132418287746
"set",FALSE,0.432132418287746,1,9,1,0.111111111111111,1,"GO:0051294","GO:BP","establishment of spindle orientation",42,13444,"GO:0030010,GO:0051293",0.432132418287746
"set",FALSE,0.432132418287746,1,9,1,0.111111111111111,1,"GO:0051493","GO:BP","regulation of cytoskeleton organization",42,13562,"GO:0007010,GO:0033043",0.432132418287746
"set",FALSE,0.432132418287746,1,9,1,0.111111111111111,1,"GO:0051494","GO:BP","negative regulation of cytoskeleton organization",42,13563,"GO:0007010,GO:0010639,GO:0051493",0.432132418287746
"set",FALSE,0.432132418287746,1,9,1,0.111111111111111,1,"GO:0051642","GO:BP","centrosome localization",42,13665,"GO:0061842",0.432132418287746
"set",FALSE,0.432132418287746,1,9,1,0.111111111111111,1,"GO:0051648","GO:BP","vesicle localization",42,13671,"GO:0051640",0.432132418287746
