"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","p_adj"
"set",TRUE,0.0147131430828478,10,8,7,0.875,0.7,"GO:0006811","GO:BP","monoatomic ion transport",42,2483,"GO:0006810",0.0147131430828478
"set",TRUE,0.0201742376325175,8,8,6,0.75,0.75,"GO:0034220","GO:BP","monoatomic ion transmembrane transport",42,8445,"GO:0006811,GO:0055085",0.0201742376325175
"set",TRUE,0.0201742376325175,8,8,6,0.75,0.75,"GO:0098660","GO:BP","inorganic ion transmembrane transport",42,18567,"GO:0055085",0.0201742376325175
"set",TRUE,0.0349437148217636,4,8,4,0.5,1,"GO:0098661","GO:BP","inorganic anion transmembrane transport",42,18568,"GO:0015698,GO:0098660",0.0349437148217636
"set",TRUE,0.0349437148217636,4,8,4,0.5,1,"GO:1902476","GO:BP","chloride transmembrane transport",42,22007,"GO:0006821,GO:0098656,GO:0098661",0.0349437148217636
"set",TRUE,0.0349437148217636,4,8,4,0.5,1,"GO:0006820","GO:BP","monoatomic anion transport",42,2489,"GO:0006811",0.0349437148217636
"set",TRUE,0.0349437148217636,4,8,4,0.5,1,"GO:0098656","GO:BP","monoatomic anion transmembrane transport",42,18563,"GO:0006820,GO:0034220",0.0349437148217636
"set",TRUE,0.0349437148217636,4,8,4,0.5,1,"GO:0006821","GO:BP","chloride transport",42,2490,"GO:0006820,GO:0015698",0.0349437148217636
"set",FALSE,0.0947738495877135,11,8,6,0.75,0.545454545454545,"GO:0055085","GO:BP","transmembrane transport",42,14029,"GO:0006810,GO:0009987",0.0947738495877135
"set",FALSE,0.110801455153188,8,8,5,0.625,0.625,"GO:0030001","GO:BP","metal ion transport",42,6613,"GO:0006812",0.110801455153188
"set",FALSE,0.110801455153188,5,8,4,0.5,0.8,"GO:0015698","GO:BP","inorganic anion transport",42,4794,"GO:0006810",0.110801455153188
"set",FALSE,0.110801455153188,8,8,5,0.625,0.625,"GO:0006812","GO:BP","monoatomic cation transport",42,2484,"GO:0006811",0.110801455153188
"set",FALSE,0.533527321519818,20,8,7,0.875,0.35,"GO:0006810","GO:BP","transport",42,2482,"GO:0051234",0.533527321519818
"set",FALSE,0.56309300455642,4,8,3,0.375,0.75,"GO:0070293","GO:BP","renal absorption",42,15813,"GO:0003014",0.56309300455642
"set",FALSE,0.667897165458141,21,8,7,0.875,0.333333333333333,"GO:0051234","GO:BP","establishment of localization",42,13403,"GO:0051179",0.667897165458141
"set",FALSE,0.692218350754936,2,8,2,0.25,1,"GO:0016338","GO:BP","calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules",42,5188,"GO:0098742",0.692218350754936
"set",FALSE,0.692218350754936,2,8,2,0.25,1,"GO:0070294","GO:BP","renal sodium ion absorption",42,15814,"GO:0003096,GO:0070293",0.692218350754936
"set",FALSE,0.692218350754936,2,8,2,0.25,1,"GO:0003096","GO:BP","renal sodium ion transport",42,1538,"GO:0003014,GO:0006814",0.692218350754936
"set",FALSE,0.692218350754936,2,8,2,0.25,1,"GO:0006814","GO:BP","sodium ion transport",42,2486,"GO:0030001",0.692218350754936
"set",FALSE,0.692218350754936,2,8,2,0.25,1,"GO:0098742","GO:BP","cell-cell adhesion via plasma-membrane adhesion molecules",42,18618,"GO:0098609",0.692218350754936
"set",FALSE,0.692218350754936,2,8,2,0.25,1,"GO:0160184","GO:BP","paracellular transport",42,19998,"GO:0006810",0.692218350754936
"set",FALSE,0.721549636803873,1,8,1,0.125,1,"GO:0030321","GO:BP","transepithelial chloride transport",42,6733,"GO:0006821,GO:0070633",0.721549636803873
"set",FALSE,0.721549636803873,1,8,1,0.125,1,"GO:0031442","GO:BP","positive regulation of mRNA 3'-end processing",42,7129,"GO:0031124,GO:0031440,GO:0050685",0.721549636803873
"set",FALSE,0.721549636803873,1,8,1,0.125,1,"GO:0031648","GO:BP","protein destabilization",42,7218,"GO:0031647",0.721549636803873
"set",FALSE,0.721549636803873,1,8,1,0.125,1,"GO:0031669","GO:BP","cellular response to nutrient levels",42,7232,"GO:0031667,GO:0051716",0.721549636803873
"set",FALSE,0.721549636803873,1,8,1,0.125,1,"GO:0031124","GO:BP","mRNA 3'-end processing",42,7012,"GO:0006397,GO:0031123",0.721549636803873
"set",FALSE,0.721549636803873,1,8,1,0.125,1,"GO:0031123","GO:BP","RNA 3'-end processing",42,7011,"GO:0006396",0.721549636803873
"set",FALSE,0.721549636803873,1,8,1,0.125,1,"GO:0031670","GO:BP","cellular response to nutrient",42,7233,"GO:0007584,GO:0031669,GO:0070887",0.721549636803873
"set",FALSE,0.721549636803873,1,8,1,0.125,1,"GO:0071404","GO:BP","cellular response to low-density lipoprotein particle stimulus",42,16426,"GO:0055094,GO:0071402",0.721549636803873
"set",FALSE,0.721549636803873,1,8,1,0.125,1,"GO:0031440","GO:BP","regulation of mRNA 3'-end processing",42,7127,"GO:0031124,GO:0050684",0.721549636803873
"set",FALSE,0.721549636803873,1,8,1,0.125,1,"GO:0030177","GO:BP","positive regulation of Wnt signaling pathway",42,6664,"GO:0009967,GO:0016055,GO:0030111",0.721549636803873
