"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","p_adj","term_name","effective_domain_size","source_order","parents"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0061842","GO:BP",0.869920511106159,"microtubule organizing center localization",42,15463,"GO:0009987,GO:0051179"
"hubs",FALSE,0.869920511106159,3,20,3,0.15,1,"GO:0061448","GO:BP",0.869920511106159,"connective tissue development",42,15267,"GO:0009888"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0061371","GO:BP",0.869920511106159,"determination of heart left/right asymmetry",42,15227,"GO:0007368,GO:0007507"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0061351","GO:BP",0.869920511106159,"neural precursor cell proliferation",42,15210,"GO:0008283"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0061333","GO:BP",0.869920511106159,"renal tubule morphogenesis",42,15199,"GO:0060562,GO:0061326"
"hubs",FALSE,0.869920511106159,3,20,2,0.1,0.666666666666667,"GO:0034284","GO:BP",0.869920511106159,"response to monosaccharide",42,8478,"GO:0009743"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0035265","GO:BP",0.869920511106159,"organ growth",42,8864,"GO:0032501,GO:0048589"
"hubs",FALSE,0.869920511106159,2,20,2,0.1,1,"GO:0060993","GO:BP",0.869920511106159,"kidney morphogenesis",42,14902,"GO:0001822,GO:0009887"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0060986","GO:BP",0.869920511106159,"endocrine hormone secretion",42,14897,"GO:0046879,GO:0050886"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0039019","GO:BP",0.869920511106159,"pronephric nephron development",42,9697,"GO:0048793,GO:0072006"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0039020","GO:BP",0.869920511106159,"pronephric nephron tubule development",42,9698,"GO:0039019,GO:0072080"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0040001","GO:BP",0.869920511106159,"establishment of mitotic spindle localization",42,9799,"GO:0051293,GO:1902850"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0060632","GO:BP",0.869920511106159,"regulation of microtubule-based movement",42,14594,"GO:0007018,GO:0032886"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0060613","GO:BP",0.869920511106159,"fat pad development",42,14578,"GO:0060612"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0060612","GO:BP",0.869920511106159,"adipose tissue development",42,14577,"GO:0048513,GO:0061448"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0060602","GO:BP",0.869920511106159,"branch elongation of an epithelium",42,14567,"GO:0003401,GO:0061138"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0040014","GO:BP",0.869920511106159,"regulation of multicellular organism growth",42,9811,"GO:0035264,GO:0048638,GO:0051239"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0040015","GO:BP",0.869920511106159,"negative regulation of multicellular organism growth",42,9812,"GO:0035264,GO:0040014,GO:0048640,GO:0051241"
"hubs",FALSE,0.869920511106159,5,20,5,0.25,1,"GO:0060562","GO:BP",0.869920511106159,"epithelial tube morphogenesis",42,14534,"GO:0002009,GO:0035239"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0040018","GO:BP",0.869920511106159,"positive regulation of multicellular organism growth",42,9815,"GO:0035264,GO:0040014,GO:0048639,GO:0051240"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0060561","GO:BP",0.869920511106159,"apoptotic process involved in morphogenesis",42,14533,"GO:0009653,GO:1902742"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0060560","GO:BP",0.869920511106159,"developmental growth involved in morphogenesis",42,14532,"GO:0009653,GO:0048589"
"hubs",FALSE,0.869920511106159,3,20,3,0.15,1,"GO:0060541","GO:BP",0.869920511106159,"respiratory system development",42,14519,"GO:0048731"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0060537","GO:BP",0.869920511106159,"muscle tissue development",42,14515,"GO:0009888"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0060484","GO:BP",0.869920511106159,"lung-associated mesenchyme development",42,14467,"GO:0030324,GO:0060485"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0060445","GO:BP",0.869920511106159,"branching involved in salivary gland morphogenesis",42,14432,"GO:0007435,GO:0061138"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0038108","GO:BP",0.869920511106159,"negative regulation of appetite by leptin-mediated signaling pathway",42,9615,"GO:0032099,GO:0033210"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0038034","GO:BP",0.869920511106159,"signal transduction in absence of ligand",42,9587,"GO:0007165"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0060638","GO:BP",0.869920511106159,"mesenchymal-epithelial cell signaling",42,14600,"GO:0007267"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0036294","GO:BP",0.869920511106159,"cellular response to decreased oxygen levels",42,9458,"GO:0036293,GO:0071453"
"hubs",FALSE,0.869920511106159,8,20,7,0.35,0.875,"GO:0035295","GO:BP",0.869920511106159,"tube development",42,8887,"GO:0007275,GO:0048856"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0035315","GO:BP",0.869920511106159,"hair cell differentiation",42,8899,"GO:0009913,GO:0030182"
